host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,solo.dual.count,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18,prop.gp.19,prop.gp.20,prop.gp.21,prop.gp.22,prop.gp.23,prop.gp.24,prop.gp.25,prop.gp.26,prop.gp.27,prop.gp.28,prop.gp.29,prop.gp.30,prop.gp.31,prop.gp.32
200703_20-07825_HIV09-00618_FL18_S6_L000,1040_to_1290,1165,338,2789,1,1,0.005301440359447833,0.005301440359447833,0.0085994802,0.033747309899999994,0.011581029470282514,0.011581029470282514,0.004433060788358418,0.004433060788358418,0.007190879438442873,0.02821947736593074,0.00968404889098477,0.00968404889098477,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1040_to_1290,1165,431,2477,1,1,0.01061019009434801,0.01061019009434801,0.0177365067,0.05230315800000001,0.016161029365400096,0.016161029365400096,0.008872233671451136,0.008872233671451136,0.014831254723841827,0.04373586480585523,0.01351384165844431,0.01351384165844431,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1040_to_1290,1165,633,2085,1,1,0.00940077745472423,0.00940077745472423,0.0170858392,0.06403742379999999,0.019193269492253084,0.019193269492253084,0.007860923652635863,0.007860923652635863,0.014287167007119945,0.053548049810530664,0.016049398770443774,0.016049398770443774,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08522_HIV11-02415_FL24_S18_L000,1040_to_1290,1165,621,1694,1,1,0.02010182113376624,0.02010182113376624,0.0182515921,0.07977808459999998,0.028644717483502155,0.028644717483502155,0.016809129029223886,0.016809129029223886,0.015261968781640588,0.06671037956323173,0.023952693090928998,0.023952693090928998,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1040_to_1290,1165,536,2251,1,1,0.018909889237849826,0.018909889237849826,0.0132516449,0.0785321247,0.02682802332121844,0.02682802332121844,0.015812436396293636,0.015812436396293636,0.01108101636619343,0.0656685087503849,0.022433574679852807,0.022433574679852807,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703_20-07825_HIV09-00618_FL18_S6_L000,1050_to_1300,1175,348,3006,1,1,0.0053161692818695944,0.0053161692818695944,0.0083323035,0.0450226554,0.011826249125772632,0.011826249125772632,0.004465661946051419,0.004465661946051419,0.006999259935119161,0.03781970593292675,0.009934226674383427,0.009934226674383427,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1050_to_1300,1175,499,2850,1,1,0.00687719617863158,0.00687719617863158,0.017250307,0.0508027259,0.014981425178865361,0.014981425178865361,0.0057769479567145645,0.0057769479567145645,0.01449051665648108,0.042675051861314275,0.012584621890623371,0.012584621890623371,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1050_to_1300,1175,657,2150,1,1,0.013655197387488376,0.013655197387488376,0.0206858899,0.0608985608,0.020125038759062814,0.020125038759062814,0.011470570650767968,0.011470570650767968,0.017376457830581435,0.05115570462764087,0.016905334458715837,0.016905334458715837,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08522_HIV11-02415_FL24_S18_L000,1050_to_1300,1175,676,1911,1,1,0.021261554546101517,0.021261554546101517,0.025695527300000003,0.11765373940000001,0.02975336168252904,0.02975336168252904,0.017860024769006434,0.017860024769006434,0.021584628397495437,0.0988309060512943,0.024993270151481534,0.024993270151481534,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1050_to_1300,1175,563,2476,1,1,0.017146100727463642,0.017146100727463642,0.0169187005,0.07616460659999999,0.02650023308251171,0.02650023308251171,0.014402981824324302,0.014402981824324302,0.014211962221963052,0.06397941210968759,0.022260593326412503,0.022260593326412503,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
